"submission_id","age","cups","where_drink","brew","brew_other","purchase","purchase_other","favorite","favorite_specify","additions","additions_other","dairy","sweetener","style","strength","roast_level","caffeine","expertise","coffee_a_bitterness","coffee_a_acidity","coffee_a_personal_preference","coffee_a_notes","coffee_b_bitterness","coffee_b_acidity","coffee_b_personal_preference","coffee_b_notes","coffee_c_bitterness","coffee_c_acidity","coffee_c_personal_preference","coffee_c_notes","coffee_d_bitterness","coffee_d_acidity","coffee_d_personal_preference","coffee_d_notes","prefer_abc","prefer_ad","prefer_overall","wfh","total_spend","why_drink","why_drink_other","taste","know_source","most_paid","most_willing","value_cafe","spent_equipment","value_equipment","gender","gender_specify","education_level","ethnicity_race","ethnicity_race_specify","employment_status","number_children","political_affiliation"
"gMR29l","18-24 years old","NA","NA","NA","NA","NA","NA","Regular drip coffee","NA","No - just black","NA","NA","NA","Complex","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"BkPN0e","25-34 years old","NA","NA","Pod/capsule machine (e.g. Keurig/Nespresso)","NA","NA","NA","Iced coffee","NA","Sugar or sweetener, No - just black","NA","NA","NA","Light","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"W5G8jj","25-34 years old","NA","NA","Bean-to-cup machine","NA","NA","NA","Regular drip coffee","NA","No - just black","NA","NA","NA","Complex","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"4xWgGr","35-44 years old","NA","NA","Coffee brewing machine (e.g. Mr. Coffee)","NA","NA","NA","Iced coffee","NA","No - just black, Cinnamon","NA","NA","NA","Complex","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"QD27Q8","25-34 years old","NA","NA","Pour over","NA","NA","NA","Latte","NA","No - just black","NA","NA","NA","Sweet","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"V0LPeM","55-64 years old","NA","NA","Pod/capsule machine (e.g. Keurig/Nespresso), Espresso, French press","NA","NA","NA","Iced coffee","NA","Half & half","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"V0Gaxg","18-24 years old","NA","At a cafe, At the office, At home, On the go","Pour over, French press, Espresso, Instant coffee, Pod/capsule machine (e.g. Keurig/Nespresso)","NA","National chain (e.g. Starbucks, Dunkin), Local cafe, Drive-thru, Specialty coffee shop, Other","NA","Pourover","NA","No - just black","NA","NA","NA","Complex","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AdzRL0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"LbWda2","25-34 years old","Less than 1","At a cafe","NA","NA","NA","NA","Regular drip coffee","NA","No - just black","NA","NA","NA","Light","NA","NA","NA","NA","4","4","4","NA","4","4","4","NA","4","4","4","NA","4","4","4","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"EXQLWN","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
